algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,62,55500815,55499777,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,63,55413740,55413481,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,64,55390111,55389944,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,65,55501833,55501221,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,66,55439851,55439611,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,67,55418277,55418018,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,68,55411073,55410815,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,69,55402870,55402167,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,70,55392722,55392407,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,71,55432963,55431333,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,72,55469222,55468870,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,73,55429758,55429259,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,74,55406722,55406518,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,75,55476777,55475388,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,76,55398610,55398407,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,77,55427704,55427555,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,78,55382073,55381870,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,79,55439092,55438851,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,80,55405185,55404962,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,81,55403999,55403758,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,82,55417777,55417481,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,83,55445722,55445500,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,84,55451740,55451555,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,85,55384370,55384147,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,86,55414259,55413999,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,87,55374629,55374370,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,88,55400925,55400814,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,89,55500963,55499278,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,90,55596963,55595518,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,91,55544296,55541870,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,92,55486111,55485611,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,93,55465981,55464759,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,94,55465944,55465592,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,95,55415148,55414981,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,96,55374481,55374259,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,97,55408907,55408648,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,98,55426444,55425944,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,99,55415166,55414981,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,100,55410425,55410129,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,101,55451518,55451352,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,102,55428092,55427833,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,103,55425556,55425314,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,104,55415332,55415185,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,105,55434740,55433037,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,106,55489685,55489518,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,107,55414593,55414536,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,108,55417592,55417407,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,109,55396519,55395889,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,110,55436222,55435981,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,111,55423092,55422499,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,112,55430296,55429944,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,113,55374740,55374574,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,114,55414685,55414333,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,115,55384463,55384258,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,116,55437388,55437055,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,117,55388777,55388537,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,118,55397333,55397073,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,119,55442333,55442148,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,120,55414851,55414722,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,121,55449648,55449426,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,122,55383796,55383537,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,123,55407000,55406741,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,124,55395407,55395203,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,125,55465407,55464388,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,126,55423721,55423351,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,127,55390556,55390018,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,128,55417870,55417666,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,129,55406536,55405574,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,130,55598648,55596222,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,131,55629851,55628203,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,132,55518277,55517722,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,133,55437277,55437074,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,134,55433481,55433203,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,135,55430500,55430389,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,136,55435592,55435370,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,137,55406148,55405944,,,,,,,Classic_McEliece_348864_decapsulate.json
