algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Falcon-1024,SIG,keygen,L5,Falcon,62,42759325,42759029,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,63,45058697,45058327,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,64,46135624,46135401,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,65,57898076,57895761,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,66,46475031,46473531,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,67,45302179,45300494,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,68,72600938,72599660,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,69,45789012,45787716,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,70,47131717,47129976,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,71,52305905,52304647,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,72,43088381,43087103,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,73,56729019,56727649,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,74,42873103,42872214,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,75,54932389,54930981,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,76,63057617,63056450,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,77,42385454,42384399,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,78,44737122,44735753,,1793,2305,,,,Falcon_1024_keygen.json
