algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,98,24926,24777,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,99,24982,24926,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,100,24926,24870,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,101,25148,25111,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,102,25463,25371,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,103,25222,25185,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,104,24834,24704,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,105,25018,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,106,27167,46982,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,107,24907,24871,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,108,24870,24797,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,109,24926,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,110,24888,24759,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,111,24926,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,112,24777,24704,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,113,24889,24815,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,114,24796,24686,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,115,25945,25833,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,116,25037,24870,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,117,25056,24982,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,118,25444,25407,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,119,25037,25000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,120,25092,25019,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,121,25019,24981,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,122,24852,24778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,123,24963,24926,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,124,24926,24833,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,125,25075,24981,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,126,24852,24778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,127,25038,24926,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,128,24889,24796,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,129,24871,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,130,25037,24981,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,131,24926,24907,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,132,24889,24778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,133,25019,24908,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,134,24963,24833,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,135,25149,25074,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,136,24908,24815,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,137,25852,25778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,138,24852,24722,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,139,25055,25000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,140,24833,24741,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,141,25389,25314,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,142,24834,24759,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,143,25351,25278,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,144,24815,24797,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,145,24982,24926,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,146,25296,25149,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,147,25019,24908,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,148,25074,24981,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,149,25278,25204,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,150,26130,26000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,151,25445,25371,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,152,24908,24777,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,153,44149,43815,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,154,27315,27148,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,155,25074,25000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,156,24871,24777,1024,,,,,,AES_256_GCM_decrypt_1024B.json
